City,Temperature,Weather Condition
Oslo *,18 °C,Passing clouds. Mild.
Ottawa *,25 °C,Scattered clouds. Warm.
Paris *,17 °C,Partly sunny. Mild.
Perth,8 °C,Passing clouds. Cool.
Philadelphia *,27 °C,Broken clouds. Pleasantly warm.
Phoenix,37 °C,Broken clouds. Extremely hot.
Prague *,22 °C,Clear. Mild.
Reykjavik,15 °C,Broken clouds. Cool.
Rio de Janeiro,24 °C,Broken clouds. Mild.
Riyadh,35 °C,Clear. Extremely hot.
Rome *,26 °C,Passing clouds. Warm.
Salt Lake City *,30 °C,Passing clouds. Pleasantly warm.
San Francisco *,20 °C,Passing clouds. Mild.
San Juan,32 °C,Scattered clouds. Hot.
San Salvador,30 °C,Passing clouds. Warm.
Santiago,18 °C,Passing clouds. Mild.
Santo Domingo,32 °C,Scattered clouds. Hot.
São Paulo,21 °C,Passing clouds. Mild.
Seattle *,18 °C,Overcast. Mild.
Seoul,22 °C,Clear. Mild.
Shanghai,29 °C,Clear. Warm.
Singapore,26 °C,Passing clouds. Warm.
Sofia *,22 °C,Passing clouds. Mild.
St. John's *,13 °C,Partly sunny. Cool.
Stockholm *,17 °C,Passing clouds. Mild.
Suva,22 °C,Overcast. Mild.
Sydney,12 °C,Mostly cloudy. Cool.
Taipei,27 °C,Passing clouds. Warm.
Tallinn *,15 °C,Overcast. Cool.
Tashkent,21 °C,Passing clouds. Mild.
Tegucigalpa,29 °C,Passing clouds. Pleasantly warm.
Tehran,29 °C,Clear. Pleasantly warm.
Tokyo,29 °C,Warm.
Toronto *,23 °C,Passing clouds. Mild.
Vancouver *,18 °C,Overcast. Mild.
Vienna *,22 °C,Clear. Mild.
Warsaw *,20 °C,Passing clouds. Mild.
Washington DC *,26 °C,Partly sunny. Pleasantly warm.
Winnipeg *,26 °C,Warm.
Yangon,25 °C,Passing clouds. Warm.
Zagreb *,23 °C,Passing clouds. Mild.
Zürich *,17 °C,Thunderstorms. Partly cloudy. Mild.
